iyear,imonth,iday,country,country_txt,success,suicide,attacktype1,attacktype1_txt,gname,gsubname,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte
2009,7,27,147,Nigeria,1,0,2,Armed Assault,Boko Haram,,0,0,0,0,0,0
2009,7,27,147,Nigeria,1,0,9,Unknown,Boko Haram,,77,0,23,0,0,0
2009,7,27,147,Nigeria,1,0,7,Facility/Infrastructure Attack,Boko Haram,,0,0,0,0,0,0
2009,7,27,147,Nigeria,1,0,7,Facility/Infrastructure Attack,Boko Haram,,0,0,0,0,0,0
2009,7,27,147,Nigeria,1,0,7,Facility/Infrastructure Attack,Boko Haram,,0,0,0,0,0,0
2009,7,27,147,Nigeria,1,0,9,Unknown,Boko Haram,,76,0,22,0,0,0
2009,7,27,147,Nigeria,1,0,9,Unknown,Boko Haram,,76,0,22,0,0,0
2009,7,27,147,Nigeria,1,0,9,Unknown,Boko Haram,,75,0,22,0,0,0
2009,7,27,147,Nigeria,1,0,2,Armed Assault,Boko Haram,,0,0,0,0,0,0
2009,7,27,147,Nigeria,1,0,2,Armed Assault,Boko Haram,,0,0,0,0,0,0
2010,9,5,147,Nigeria,1,0,2,Armed Assault,Boko Haram,,1,0,0,0,0,0
2010,9,5,147,Nigeria,0,0,1,Assassination,Boko Haram,,1,0,0,2,0,0
2010,9,5,147,Nigeria,0,0,2,Armed Assault,Boko Haram,,0,0,0,2,0,0
2010,9,21,147,Nigeria,1,0,2,Armed Assault,Boko Haram,,2,0,0,0,0,0
2010,10,6,147,Nigeria,1,0,1,Assassination,Boko Haram,,1,0,0,0,0,0
2010,10,6,147,Nigeria,0,0,1,Assassination,Boko Haram,,1,0,0,0,0,0
2010,10,9,147,Nigeria,1,0,2,Armed Assault,Boko Haram,,2,0,0,0,0,0
2010,10,19,147,Nigeria,1,0,2,Armed Assault,Boko Haram,,1,0,0,0,0,0
2010,10,22,147,Nigeria,1,0,9,Unknown,Boko Haram,,1,0,0,0,0,0
2010,11,19,147,Nigeria,1,0,2,Armed Assault,Boko Haram,,3,0,0,1,0,0
2010,11,29,147,Nigeria,0,0,2,Armed Assault,Boko Haram,,1,0,1,0,0,0
2010,12,24,147,Nigeria,1,0,2,Armed Assault,Boko Haram,,5,0,0,25,0,0
2010,12,24,147,Nigeria,1,0,2,Armed Assault,Boko Haram,,1,0,0,0,0,0
2010,12,24,147,Nigeria,1,0,3,Bombing/Explosion,Boko Haram,,38,0,0,74,0,0
2010,12,24,147,Nigeria,1,0,3,Bombing/Explosion,Boko Haram,,0,0,0,0,0,0
