imonth,iday,nwound,nkill
7,27,0,0
7,27,0,77
7,27,0,0
7,27,0,0
7,27,0,0
7,27,0,76
7,27,0,76
7,27,0,75
7,27,0,0
7,27,0,0
9,5,0,1
9,5,2,1
9,5,2,0
9,21,0,2
10,6,0,1
10,6,0,1
10,9,0,2
10,19,0,1
10,22,0,1
11,19,1,3
11,29,0,1
12,24,25,5
12,24,0,1
12,24,74,38
12,24,0,0
12,28,0,3
12,31,26,11
1,1,0,0
1,3,0,1
1,7,2,8
1,28,5,7
2,1,1,1
2,2,1,1
2,15,0,2
2,15,0,0
2,17,3,1
2,17,0,1
2,23,0,1
3,1,0,1
3,2,0,1
3,13,0,1
3,21,2,1
3,27,0,1
3,29,6,1
3,29,0,3
3,29,0,0
4,20,2,3
4,24,14,3
4,24,0,0
5,12,1,1
5,26,0,1
5,27,0,7
5,27,0,6
5,29,10,2
5,29,40,14
5,29,8,0
5,30,0,1
6,1,0,0
6,2,0,0
6,6,0,1
6,7,0,5
6,7,0,2
6,8,0,1
6,12,0,4
6,16,5,3
6,20,0,1
6,26,30,25
6,27,3,2
7,2,0,1
7,2,1,0
7,2,0,2
7,3,15,8
7,3,0,1
7,4,2,4
7,5,0,1
7,10,20,0
7,12,0,0
8,7,0,1
8,8,0,1
8,12,0,1
8,15,0,1
8,19,0,4
8,23,0,1
8,26,81,24
8,28,0,1
9,1,0,0
9,6,0,1
9,6,0,0
9,6,0,0
9,11,0,0
9,12,0,4
9,14,2,3
9,17,0,1
9,21,0,1
9,21,0,1
9,29,0,2
10,2,0,1
10,3,0,2
10,9,1,0
10,12,3,1
10,13,0,1
10,14,0,1
10,16,0,1
10,19,0,2
10,22,0,1
10,23,0,0
10,23,0,0
10,29,0,1
11,4,10,7
11,4,10,7
11,4,10,7
11,4,10,6
11,4,10,6
11,4,10,6
11,4,10,6
11,4,10,6
11,4,10,6
11,4,10,6
11,4,0,0
11,4,1,3
11,4,0,0
11,4,6,6
11,4,0,0
11,6,0,1
11,9,0,0
11,9,0,2
11,13,0,1
11,14,0,0
11,14,0,0
11,16,0,0
11,18,0,3
11,22,0,0
11,26,7,2
11,26,7,1
11,26,6,1
11,27,0,1
11,27,0,1
12,10,0,0
12,10,4,1
12,10,4,0
12,10,3,0
12,10,0,4
12,15,0,5
12,25,57,37
12,25,0,1
12,25,0,0
12,25,0,4
12,25,0,0
12,25,0,0
12,25,0,0
12,25,0,0
1,3,1,1
1,3,0,1
1,3,0,1
1,4,0,4
1,4,0,0
1,4,0,0
1,5,10,6
1,6,0,20
1,6,0,8
1,6,0,0
1,6,0,0
1,6,0,0
1,6,0,8
1,6,0,3
1,6,0,2
1,7,7,3
1,8,7,3
1,8,0,0
1,9,0,1
1,9,0,1
1,9,3,2
1,9,0,1
1,10,0,8
1,10,0,3
1,11,0,4
1,13,1,2
1,13,1,2
1,16,0,2
1,17,6,4
1,17,0,1
1,17,0,0
1,17,0,1
1,17,0,0
1,18,0,2
1,20,5,17
1,20,5,18
1,20,5,17
1,20,5,18
1,20,5,17
1,20,5,17
1,20,5,17
1,20,4,17
1,20,3,1
1,20,4,17
1,20,0,0
1,20,0,0
1,22,0,0
1,20,0,0
1,20,4,17
1,20,4,16
1,20,0,1
1,22,10,9
1,22,0,0
1,22,0,0
1,22,0,2
1,22,0,5
1,22,0,4
1,22,0,0
1,22,0,1
1,23,0,0
1,23,0,0
1,23,0,0
1,24,1,1
1,27,0,2
1,26,0,14
1,29,0,2
1,30,0,0
1,30,0,0
1,30,0,1
1,30,0,4
1,30,0,1
2,3,0,2
2,3,0,2
2,6,1,0
2,7,0,1
2,7,0,0
2,7,0,0
2,9,0,1
2,10,2,4
2,10,0,1
2,11,0,2
2,11,0,3
2,11,0,4
2,12,0,12
2,14,2,1
2,14,0,0
2,16,1,2
2,15,0,1
2,16,0,0
2,19,5,0
2,19,0,1
2,19,0,1
2,20,0,38
2,21,0,0
2,22,0,0
2,22,0,2
2,22,0,0
2,23,0,4
2,23,0,0
2,24,0,12
2,24,0,5
2,25,1,1
2,26,3,3
2,26,1,2
2,26,38,5
2,27,0,0
2,27,1,1
2,27,0,1
2,28,0,1
2,28,0,0
2,28,6,4
2,28,0,0
2,29,1,0
2,29,0,0
2,29,0,0
2,29,0,0
3,1,0,0
